"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","whocovered","scoretotal","OUError","which_hit"
"09/01/1979",1979,1,"TB","DET","Houlihan's Stadium","TB",30,"",31,16,FALSE,FALSE,"19790901DETTB",1,15,3,12,"Favorite",47,17,"Over"
"09/02/1979",1979,1,"BUF","MIA","Ralph Wilson Stadium","MIA",39,"",7,9,FALSE,FALSE,"19790902MIABUF",0,2,5,-3,"Underdog",16,-23,"Under"
"09/02/1979",1979,1,"CHI","GB","Soldier Field","CHI",31,"",6,3,FALSE,FALSE,"19790902GBCHI",1,3,3,0,"Push",9,-22,"Under"
"09/02/1979",1979,1,"DEN","CIN","Mile High Stadium","DEN",31.5,"",10,0,FALSE,FALSE,"19790902CINDEN",1,10,3,7,"Favorite",10,-21.5,"Under"
"09/02/1979",1979,1,"KC","IND","Arrowhead Stadium","KC",37,"",14,0,FALSE,FALSE,"19790902INDKC",1,14,1,13,"Favorite",14,-23,"Under"
"09/02/1979",1979,1,"LAR","OAK","Anaheim Stadium","LAR",36.5,"",17,24,FALSE,FALSE,"19790902OAKLAR",1,-7,4,-11,"Underdog",41,4.5,"Over"
"09/02/1979",1979,1,"MIN","SF","Metropolitan Stadium","MIN",32,"",28,22,FALSE,FALSE,"19790902SFMIN",1,6,7,-1,"Underdog",50,18,"Over"
"09/02/1979",1979,1,"NO","ATL","Louisiana Superdome","NO",32,"DOME",34,40,FALSE,FALSE,"19790902ATLNO",1,-6,5,-11,"Underdog",74,42,"Over"
"09/02/1979",1979,1,"NYJ","CLE","Giants Stadium","NYJ",41,"",22,25,FALSE,FALSE,"19790902CLENYJ",1,-3,2,-5,"Underdog",47,6,"Over"
"09/02/1979",1979,1,"PHI","NYG","Veterans Stadium","PHI",31.5,"",23,17,FALSE,FALSE,"19790902NYGPHI",1,6,7,-1,"Underdog",40,8.5,"Over"
"09/02/1979",1979,1,"SEA","LAC","Seattle Kingdome","SEA",42.5,"DOME",16,33,FALSE,FALSE,"19790902LACSEA",1,-17,2,-19,"Underdog",49,6.5,"Over"
"09/02/1979",1979,1,"ARI","DAL","Busch Memorial Stadium","DAL",37,"",21,22,FALSE,FALSE,"19790902DALARI",0,1,4,-3,"Underdog",43,6,"Over"
"09/02/1979",1979,1,"WAS","TEN","RFK Memorial Stadium","TEN",33,"",27,29,FALSE,FALSE,"19790902TENWAS",0,2,4,-2,"Underdog",56,23,"Over"
