"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","weather_temperature","weather_wind_mph","weather_humidity","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","ErrMag","scoretotal","OUError"
"09/01/1979",1979,1,"TB","DET","Houlihan's Stadium","TB",30,"",79,9,"87",31,16,FALSE,FALSE,"19790901DETTB",1,15,3,12,12,47,17
"09/02/1979",1979,1,"BUF","MIA","Ralph Wilson Stadium","MIA",39,"",74,15,"74",7,9,FALSE,FALSE,"19790902MIABUF",0,2,5,-3,3,16,-23
"09/02/1979",1979,1,"CHI","GB","Soldier Field","CHI",31,"",78,11,"68",6,3,FALSE,FALSE,"19790902GBCHI",1,3,3,0,0,9,-22
"09/02/1979",1979,1,"DEN","CIN","Mile High Stadium","DEN",31.5,"",69,6,"38",10,0,FALSE,FALSE,"19790902CINDEN",1,10,3,7,7,10,-21.5
"09/02/1979",1979,1,"KC","IND","Arrowhead Stadium","KC",37,"",76,8,"71",14,0,FALSE,FALSE,"19790902INDKC",1,14,1,13,13,14,-23
"09/02/1979",1979,1,"LAR","OAK","Anaheim Stadium","LAR",36.5,"",70,10,"77",17,24,FALSE,FALSE,"19790902OAKLAR",1,-7,4,-11,11,41,4.5
"09/02/1979",1979,1,"MIN","SF","Metropolitan Stadium","MIN",32,"",70,11,"67",28,22,FALSE,FALSE,"19790902SFMIN",1,6,7,-1,1,50,18
"09/02/1979",1979,1,"NO","ATL","Louisiana Superdome","NO",32,"DOME",72,0,"",34,40,FALSE,FALSE,"19790902ATLNO",1,-6,5,-11,11,74,42
"09/02/1979",1979,1,"NYJ","CLE","Giants Stadium","NYJ",41,"",73,10,"76",22,25,FALSE,FALSE,"19790902CLENYJ",1,-3,2,-5,5,47,6
"09/02/1979",1979,1,"PHI","NYG","Veterans Stadium","PHI",31.5,"",76,9,"84",23,17,FALSE,FALSE,"19790902NYGPHI",1,6,7,-1,1,40,8.5
"09/02/1979",1979,1,"SEA","LAC","Seattle Kingdome","SEA",42.5,"DOME",72,0,"",16,33,FALSE,FALSE,"19790902LACSEA",1,-17,2,-19,19,49,6.5
"09/02/1979",1979,1,"ARI","DAL","Busch Memorial Stadium","DAL",37,"",76,7,"73",21,22,FALSE,FALSE,"19790902DALARI",0,1,4,-3,3,43,6
"09/02/1979",1979,1,"WAS","TEN","RFK Memorial Stadium","TEN",33,"",80,11,"85",27,29,FALSE,FALSE,"19790902TENWAS",0,2,4,-2,2,56,23
"09/03/1979",1979,1,"NE","PIT","Foxboro Stadium","PIT",37,"",78,13,"80",13,16,FALSE,FALSE,"19790903PITNE",0,3,2,1,1,29,-8
"09/06/1979",1979,2,"DEN","LAR","Mile High Stadium","DEN",31.5,"",67,8,"50",9,13,FALSE,FALSE,"19790906LARDEN",1,-4,2,-6,6,22,-9.5
"09/09/1979",1979,2,"IND","TB","Memorial Stadium (Baltimore)","PICK",33,"",64,8,"65",26,29,FALSE,FALSE,"19790909TBIND",0,3,0,3,3,55,22
"09/09/1979",1979,2,"BUF","CIN","Ralph Wilson Stadium","CIN",34,"",54,7,"63",51,24,FALSE,FALSE,"19790909CINBUF",0,-27,3,-30,30,75,41
"09/09/1979",1979,2,"CHI","MIN","Soldier Field","CHI",31.5,"",60,11,"64",26,7,FALSE,FALSE,"19790909MINCHI",1,19,6,13,13,33,1.5
"09/09/1979",1979,2,"DET","WAS","Pontiac Silverdome","PICK",35.5,"DOME",72,0,"",24,27,FALSE,FALSE,"19790909WASDET",0,3,0,3,3,51,15.5
"09/09/1979",1979,2,"GB","NO","Lambeau Field","GB",35,"",60,13,"71",28,19,FALSE,FALSE,"19790909NOGB",1,9,3,6,6,47,12
"09/09/1979",1979,2,"KC","CLE","Arrowhead Stadium","PICK",36,"",71,14,"60",24,27,FALSE,FALSE,"19790909CLEKC",0,3,0,3,3,51,15
"09/09/1979",1979,2,"MIA","SEA","Orange Bowl","MIA",40.5,"",81,13,"81",19,10,FALSE,FALSE,"19790909SEAMIA",1,9,7,2,2,29,-11.5
"09/09/1979",1979,2,"NE","NYJ","Foxboro Stadium","NE",42,"",59,12,"68",56,3,FALSE,FALSE,"19790909NYJNE",1,53,8,45,45,59,17
"09/09/1979",1979,2,"NYG","ARI","Giants Stadium","ARI",36,"",63,13,"54",14,27,FALSE,FALSE,"19790909ARINYG",0,13,3,10,10,41,5
"09/09/1979",1979,2,"PIT","TEN","Three Rivers Stadium","PIT",37,"",55,6,"69",38,7,FALSE,FALSE,"19790909TENPIT",1,31,6,25,25,45,8
"09/09/1979",1979,2,"LAC","OAK","Qualcomm Stadium","LAC",42,"",73,9,"82",30,10,FALSE,FALSE,"19790909OAKLAC",1,20,3,17,17,40,-2
"09/09/1979",1979,2,"SF","DAL","Candlestick Park","DAL",39,"",65,15,"65",13,21,FALSE,FALSE,"19790909DALSF",0,8,13,-5,5,34,-5
"09/10/1979",1979,2,"PHI","ATL","Veterans Stadium","PHI",35.5,"",65,7,"72",10,14,FALSE,FALSE,"19790910ATLPHI",1,-4,4,-8,8,24,-11.5
"09/16/1979",1979,3,"ATL","DEN","Atlanta-Fulton County Stadium","DEN",32,"",71,15,"76",17,20,FALSE,FALSE,"19790916DENATL",0,3,3,0,0,37,5
"09/16/1979",1979,3,"CIN","NE","Cinergy Field","NE",41,"",58,7,"59",14,20,FALSE,FALSE,"19790916NECIN",0,6,6,0,0,34,-7
